# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.0,3.0,0.0,0,0.05,0,0.0,0.0,0.0
 0.6900508966735779,4.011904256,3.0,0.0,0.0345025448336789,0.05000000000000001,0,0.0,0.0,0.0
 0.9719680653190093,4.0236180479999994,3.0,0.0,0.04859840326595047,0.05,0,0.0,0.0,0.0
 1.1856291494392253,4.0351429119999995,3.0,0.0,0.05928145747196128,0.050000000000000044,0,0.0,0.0,0.0
 1.3635304763737484,4.0464803840000005,3.0,0.0,0.06817652381868744,0.05000000000000004,0,0.0,0.0,0.0
 1.5183148553577286,4.057631999999999,3.0,0.0,0.07591574276788644,0.04999999999999995,0,0.0,0.0,0.0
 1.6564938394090025,4.0685992959999995,3.0,0.0,0.08282469197045014,0.05000000000000002,0,0.0,0.0,0.0
 1.7819518287540694,4.079383807999999,3.0,0.0,0.08909759143770349,0.05,0,0.0,0.0,0.0
 1.897230318121651,4.089987072,3.0,0.0,0.09486151590608258,0.05000000000000009,0,0.0,0.0,0.0
 2.0041020333306316,4.100410623999999,3.0,0.0,0.10020510166653161,0.050000000000000024,0,0.0,0.0,0.0
 2.1038631134177956,4.1106560000000005,3.0,0.0,0.1051931556708898,0.049999999999999864,0,0.0,0.0,0.0
 2.197496175195758,4.120724736,3.0,0.0,0.10987480875978792,0.05,0,0.0,0.0,0.0
 2.2857678622292363,4.130618368,3.0,0.0,0.11428839311146184,0.05000000000000009,0,0.0,0.0,0.0
 2.3692904591881514,4.140338432,3.0,0.0,0.1184645229594076,0.05000000000000003,0,0.0,0.0,0.0
 2.4485625497421926,4.149886464,3.0,0.0,0.12242812748710966,0.05,0,0.0,0.0,0.0
 2.523996830425904,4.159264,3.0,0.0,0.12619984152129524,0.05000000000000015,0,0.0,0.0,0.0
 2.5959397219504154,4.168472576,3.0,0.0,0.12979698609752083,0.05000000000000023,0,0.0,0.0,0.0
 2.6646855574344976,4.177513728,3.0,0.0,0.13323427787172495,0.050000000000000246,0,0.0,0.0,0.0
 2.730487077427764,4.186388992,3.0,0.0,0.13652435387138825,0.04999999999999983,0,0.0,0.0,0.0
 2.793563344547605,4.195099904,3.0,0.0,0.1396781672273803,0.04999999999999991,0,0.0,0.0,0.0
 2.8541058144364597,4.203648,3.0,0.0,0.14270529072182303,0.049999999999999815,0,0.0,0.0,0.0
 2.9122830631653858,4.212034815999999,3.0,0.0,0.14561415315826934,0.05000000000000009,0,0.0,0.0,0.0
 2.9682445182295845,4.220261888,3.0,0.0,0.1484122259114793,0.050000000000000294,0,0.0,0.0,0.0
 3.0221234389084746,4.228330752,3.0,0.0,0.1511061719454238,0.050000000000000204,0,0.0,0.0,0.0
 3.074039323105679,4.236242944000001,3.0,0.0,0.15370196615528403,0.05,0,0.0,0.0,0.0
 3.1240998703626595,4.244,3.0,0.0,0.15620499351813305,0.05,0,0.0,0.0,0.0
 3.1724025974015317,4.251603456,3.0,0.0,0.15862012987007668,0.05000000000000023,0,0.0,0.0,0.0
 3.219036178734248,4.259054848,3.0,0.0,0.1609518089367125,0.05000000000000012,0,0.0,0.0,0.0
 3.264081567608261,4.266355712,3.0,0.0,0.16320407838041315,0.050000000000000246,0,0.0,0.0,0.0
 3.3076129398706837,4.273507584,3.0,0.0,0.1653806469935343,0.05000000000000025,0,0.0,0.0,0.0
 3.349698493894635,4.280512,3.0,0.0,0.1674849246947319,0.05000000000000053,0,0.0,0.0,0.0
 3.3904011326095276,4.287370495999999,3.0,0.0,0.16952005663047653,0.05000000000000041,0,0.0,0.0,0.0
 3.4297790482770174,4.294084608,3.0,0.0,0.17148895241385104,0.05000000000000028,0,0.0,0.0,0.0
 3.4678862265074373,4.300655872,3.0,0.0,0.17339431132537203,0.05,0,0.0,0.0,0.0
 3.5047728827985427,4.3070858240000005,3.0,0.0,0.17523864413992732,0.050000000000000454,0,0.0,0.0,0.0
 3.540485842366833,4.313376,3.0,0.0,0.17702429211834184,0.05,0,0.0,0.0,0.0
 3.575068872063864,4.319527936,3.0,0.0,0.1787534436031934,0.05000000000000016,0,0.0,0.0,0.0
 3.6085629715996363,4.325543168,3.0,0.0,0.18042814857998202,0.05000000000000033,0,0.0,0.0,0.0
 3.641006630040655,4.331423232000001,3.0,0.0,0.18205033150203295,0.04999999999999983,0,0.0,0.0,0.0
 3.672436052540601,4.337169664,3.0,0.0,0.18362180262703026,0.05000000000000053,0,0.0,0.0,0.0
 3.7028853614445074,4.342784000000001,3.0,0.0,0.18514426807222556,0.049999999999999274,0,0.0,0.0,0.0
 3.7323867752418143,4.348267776,3.0,0.0,0.1866193387620909,0.05000000000000038,0,0.0,0.0,0.0
 3.760970768299054,4.353622528,3.0,0.0,0.1880485384149529,0.049999999999999614,0,0.0,0.0,0.0
 3.788666213854156,4.358849792,3.0,0.0,0.189433310692708,0.0500000000000006,0,0.0,0.0,0.0
 3.8155005123836654,4.363951104000001,3.0,0.0,0.19077502561918347,0.049999999999999795,0,0.0,0.0,0.0
 3.8414997071456303,4.3689279999999995,3.0,0.0,0.1920749853572817,0.04999999999999979,0,0.0,0.0,0.0
 3.866688588443602,4.373782016,3.0,0.0,0.1933344294221803,0.04999999999999956,0,0.0,0.0,0.0
 3.8910907879410868,4.378514688,3.0,0.0,0.19455453939705453,0.050000000000000225,0,0.0,0.0,0.0
